ident,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,municipality,gps_code
01ID,Lava Hot Springs Airport,42.6082000732422,-112.031997680664,NA,US,US-ID,Lava Hot Springs,01ID
01II,Myers Field,39.8849983215332,-86.5066986083984,NA,US,US-IN,Lizton,01II
01IS,William E. Koenig Airport,39.0162010192871,-90.3181991577148,NA,US,US-IL,Dow,01IS
01J,Hilliard Airpark,30.68630027771,-81.9057006835937,NA,US,US-FL,Hilliard,01J
01K,Caldwell Municipal Airport,37.0360984802246,-97.5864028930664,NA,US,US-KS,Caldwell,01K
01KS,Flying N Ranch Airport,38.540599822998,-97.003303527832,NA,US,US-KS,Lost Springs,01KS
01LA,Barham Airport,32.6389999389648,-91.7736968994141,NA,US,US-LA,Oak Ridge,01LA
01LL,Schumaier Restricted Landing Area,38.1258010864258,-89.4638977050781,NA,US,US-IL,Pinckneyville,01LL
01LS,Country Breeze Airport,30.7059993743896,-91.0774002075195,NA,US,US-LA,Slaughter,01LS
01MT,Crystal Lakes Resort Airport,48.7891006469727,-114.879997253418,NA,US,US-MT,Fortine,01MT
01NC,Topsail Airpark,34.4752998352051,-77.5813980102539,NA,US,US-NC,Holly Ridge,01NC
01NE,Detour Airport,40.8436012268066,-100.65299987793,NA,US,US-NE,Wellfleet,01NE
01NH,Moore Airfield,43.6445007324219,-72.0869979858398,NA,US,US-NH,Enfield,01NH
01NM,Champion Ranch Airport,33.008611,-104.540278,NA,US,US-NM,Artesia,01NM
01NV,Lantana Ranch Airport,38.7639007568359,-119.027000427246,NA,US,US-NV,Yerington,01NV
01OK,Lawrence Airport,35.2944984436035,-98.6364974975586,NA,US,US-OK,Eakly,01OK
01OR,Red & White Flying Service Airport,43.1193008422852,-121.044998168945,NA,US,US-OR,Silver Lake,01OR
01PN,Bierly(Personal Use) Airport,40.9305992126465,-77.738899230957,NA,US,US-PA,Bellefonte,01PN
01PS,Nort's Resort Airport,41.5959014892578,-76.0296020507812,NA,US,US-PA,Meshoppen,01PS
01SC,York Airport,35.0321006774902,-81.252799987793,NA,US,US-SC,York,01SC
01TE,Smith Field,32.7375984191895,-96.4280014038086,NA,US,US-TX,Forney,01TE
01TN,Colonial Air Park,34.9958992004395,-89.730598449707,NA,US,US-TN,Collierville,01TN
01TX,Mims Farm Ultralightport,32.3875999450684,-96.8775024414063,NA,US,US-TX,Waxahachie,01TX
01U,Duckwater Airport,38.8516006469727,-115.634002685547,NA,US,US-NV,Duckwater,01U
01UT,La Sal Junction Airport,38.3083000183105,-109.396003723145,NA,US,US-UT,La Sal,01UT
01VA,Pickles Airport,39.125,-77.9250030518,NA,US,US-VA,Berryville,01VA
01WI,Prehn Cranberry Company Airport,44.0099983215332,-90.3891983032227,NA,US,US-WI,Tomah,01WI
01WY,Keyhole Airport,44.3471984863281,-104.810997009277,NA,US,US-WY,Moorcroft,01WY
02AK,Rustic Wilderness Airport,61.8768997192383,-150.098007202148,NA,US,US-AK,Willow,02AK
02AL,Bass Field,30.3715000152588,-87.7643966674805,NA,US,US-AL,Foley,02AL
02AR,Three Rivers Airport,34.8224449158,-92.4444198608,NA,US,US-AR,Little Rock,02AR
02AZ,Winchester Farm Airstrip,32.3763999938965,-109.936996459961,NA,US,US-AZ,Willcox,02AZ
02CD,Shannon Field,34.1296005249023,-90.5240020751953,NA,US,US-MS,Clarksdale,02CD
02CL,Conover Air Lodge Airport,34.761100769043,-119.05899810791,NA,US,US-CA,Frazier Park,02CL
02CO,Mc Cullough Airport,37.6432991028,-106.04699707,NA,US,US-CO,Monte Vista,02CO
02FA,Osborn Airfield,28.5266990661621,-81.8748016357422,NA,US,US-FL,Groveland,02FA
02FL,Cuchens Airport,30.642778,-86.123889,NA,US,US-FL,Defuniak Springs,02FL
02GA,Doug Bolton Field,34.2025985717773,-83.4290008544922,NA,US,US-GA,Commerce,02GA
02GE,Etowah Fields Airport,34.1753005981445,-84.9244003295899,NA,US,US-GA,Euharlee,02GE
02ID,Morgan Ranch Airport,44.5555000305176,-115.305000305176,NA,US,US-ID,Cascade,02ID
02II,King Ultralightport,40.0623016357422,-86.2105026245117,NA,US,US-IN,Westfield,02II
02IN,Diamond P. Field,40.2089004516602,-85.5408020019531,NA,US,US-IN,Muncie,02IN
02KS,Jmj Landing Airport,39.2221984863281,-96.0552978515625,NA,US,US-KS,St Marys,02KS
02ME,Old Acton Airfield,43.5373001098633,-70.9293975830078,NA,US,US-ME,Acton,02ME
02MI,Fairplains Airpark,43.1571006774902,-85.1484985351562,NA,US,US-MI,Greenville,02MI
02MN,Greenbush Municipal Airport,48.6833000183106,-96.1920013427734,NA,US,US-MN,Greenbush,02MN
02MO,Troy Airpark,39.0499992370605,-91.0335006713867,NA,US,US-MO,Troy,02MO
02MS,Watts Field,34.1001014709473,-90.8468017578125,NA,US,US-MS,Rochdale,02MS
02MT,Barrett Field,47.2374000549316,-111.741996765137,NA,US,US-MT,Cascade,02MT
02MU,Timber Line Airpark,36.6542015075684,-93.7974014282227,NA,US,US-MO,Cassville,02MU
02NE,Benes Service Airport,41.0745010375977,-96.9045028686523,NA,US,US-NE,Valparaiso,02NE
02NV,Paiute Meadows Airport,41.3032989501953,-118.597999572754,NA,US,US-NV,Winnemucca,02NV
02OH,Zimmerman Airport,41.3763999938965,-83.0832977294922,NA,US,US-OH,Fremont,02OH
02OI,Murtha Airport,41.8019981384277,-80.5653991699219,NA,US,US-OH,Conneaut,02OI
02OR,Rowena Dell Airport,45.6814994812012,-121.31600189209,NA,US,US-OR,The Dalles,02OR
02PR,Cuylers Airport,18.4533004760742,-66.3668975830078,NA,PR,PR-U-A,Vega Baja,02PR
02PS,Hughes Ultralightport,41.9006004333496,-77.2303009033203,NA,US,US-PA,Tioga,02PS
02SC,Harpers Airport,32.7584991455078,-81.2248001098633,NA,US,US-SC,Estill,02SC
02T,Wise River Airport,45.769100189209,-112.982002258301,NA,US,US-MT,Wise River,02T
02TN,Ellis Field,35.7806015014648,-86.5841979980469,NA,US,US-TN,Murfreesboro,02TN
02TX,The Palms At Kitty Hawk Airport,33.3704032898,-101.92288208,NA,US,US-TX,New Home,02TX
02UT,Lucin Airport,41.3662986755371,-113.843002319336,NA,US,US-UT,Lucin,02UT
02VA,The Greenhouse Airport,38.4356994628906,-77.8572006225586,NA,US,US-VA,Culpeper,02VA
02WA,Cawleys South Prairie Airport,47.1523017883301,-122.09400177002,NA,US,US-WA,South Prairie,02WA
02WI,Beer Airport,45.0318984985352,-92.6557998657227,NA,US,US-WI,Hudson,02WI
02WN,Fowler Field,48.7458000183105,-119.319000244141,NA,US,US-WA,Tonasket,02WN
02XS,Seidel Ranch Airport,30.1476993560791,-97.6628036499023,NA,US,US-TX,Elroy,02XS
03AZ,Thompson International Aviation Airport,31.4333992004395,-110.083999633789,NA,US,US-AZ,Hereford,03AZ
03CO,Kugel-Strong Airport,40.2125015259,-104.744003296,NA,US,US-CO,Platteville,03CO
03FA,Lake Persimmon Airstrip,27.353099822998,-81.4080963134766,NA,US,US-FL,Lake Placid,03FA
03FD,Tharpe Airport,30.828800201416,-85.7310028076172,NA,US,US-FL,Bonifay,03FD
03I,Clarks Dream Strip,39.6441993713379,-83.0182037353516,NA,US,US-OH,Circleville,03I
03IA,East Field,41.581901550293,-92.4613037109375,NA,US,US-IA,Montezuma,03IA
03ID,Flying Y Ranch Airport,44.7943000793457,-116.532997131348,NA,US,US-ID,Council,03ID
03II,Davis Field Ultralightport,37.9620018005,-87.7789001465,NA,US,US-IN,Mount Vernon,03II
03IL,Wix Airport,41.4023017883301,-87.8167037963867,NA,US,US-IL,Monee,03IL
03IN,Heinzman Airport,40.1800003051758,-86.0124969482422,NA,US,US-IN,Arcadia,03IN
03KY,Flying H Farms Airport,37.7916984558105,-87.5413970947266,NA,US,US-KY,Henderson,03KY
03MA,Hadley Airport,42.3931007385254,-72.552001953125,NA,US,US-MA,Hadley,03MA
03ME,Maple Ridge Airport,44.0842018127441,-70.6272964477539,NA,US,US-ME,Harrison,03ME
03MN,Nauerth Land Ranch Airport,43.6251983642578,-95.2247009277344,NA,US,US-MN,Lakefield,03MN
03MO,Cahoochie Airport,37.8844985961914,-93.1315994262695,NA,US,US-MO,Urbana,03MO
03MT,Cascade Airport,47.2708015441895,-111.72200012207,NA,US,US-MT,Cascade,03MT
03MU,Mc Donnell Airport,38.4925003052,-94.4124984741,NA,US,US-MO,Archie,03MU
03N,Utirik Airport,11.2220001220703,169.852005004883,OC,MH,MH-UTI,Utirik Island,03N
03NC,Pilots Ridge Airport,34.1043014526367,-77.9041976928711,NA,US,US-NC,Carolina Beach,03NC
03ND,Olafson Brothers Airport,48.6263999938965,-97.8290023803711,NA,US,US-ND,Edinburg,03ND
03NE,Hyde Ranch Airport,41.5463981628418,-99.3311996459961,NA,US,US-NE,Comstock,03NE
03NV,Llama Ranch Airport,40.584400177002,-115.297996520996,NA,US,US-NV,Ruby Valley,03NV
03NY,Talmage Field,40.9584007263184,-72.716796875,NA,US,US-NY,Riverhead,03NY
03OH,Gibbs Field,41.418399810791,-83.0174026489258,NA,US,US-OH,Fremont,03OH
03OK,Sahoma Lake Airport,36.0411987304687,-96.1613998413086,NA,US,US-OK,Sapulpa,03OK
03OR,Powwatka Ridge Airport,45.8554000854492,-117.484001159668,NA,US,US-OR,Troy,03OR
03PS,Ziggy's Field,40.8499984741211,-77.9056015014649,NA,US,US-PA,Bellefonte,03PS
03S,Sandy River Airport,45.401798248291,-122.228996276855,NA,US,US-OR,Sandy,03S
03TA,Gay Hill Farm Airport,30.2626991271973,-96.5001983642578,NA,US,US-TX,Gay Hill,03TA
03TE,Barronena Ranch Airport,27.4911003112793,-98.6695022583008,NA,US,US-TX,Hebbronville,03TE
03UT,A Z Minerals Corporation Airport,37.1208000183105,-109.986000061035,NA,US,US-UT,Mexican Hat,03UT
03WA,Spangle Field,47.4081993103027,-117.372001647949,NA,US,US-WA,Spangle,03WA
03WI,Zink Airport,44.0275001525879,-88.8808975219727,NA,US,US-WI,Berlin,03WI
03WN,Aerostone Ranch Airport,45.875,-120.669998168945,NA,US,US-WA,Goldendale,03WN
03XS,Creekside Airport,31.3180999755859,-100.753997802734,NA,US,US-TX,Mertzon,03XS
04AZ,Chinle Airport,36.1542015075684,-109.551002502441,NA,US,US-AZ,Chinle,04AZ
04CA,Gray Butte Field,34.5638999938965,-117.675003051758,NA,US,US-CA,Palmdale,04CA
04CL,Hunt's Sky Ranch Airport,33.0816993713379,-116.44100189209,NA,US,US-CA,Julian,04CL
04F,De Leon Municipal Airport,32.0988006591797,-98.5252990722656,NA,US,US-TX,De Leon,04F
04FA,Richards Field,25.5587005615234,-80.5150985717773,NA,US,US-FL,Homestead,04FA
04FL,Cross Creek Farms Airport,29.2394008636475,-81.2220001220703,NA,US,US-FL,Ormond,04FL
04I,Columbus Southwest Airport,39.9112014770508,-83.1887969970703,NA,US,US-OH,Columbus,04I
04IA,Middlekoop Airport,41.0882987976074,-92.0546035766602,NA,US,US-IA,Packwood,04IA
04ID,Lanham Field,43.8777008056641,-116.537002563477,NA,US,US-ID,Emmett,04ID
04II,Turkey Run Airport,41.1305999755859,-84.9941024780273,NA,US,US-IN,New Haven,04II
04IL,Schertz Aerial Service - Hudson Airport,40.6375007629,-89.0070037842,NA,US,US-IL,Hudson,04IL
04IS,Van Gorder Airport,40.1786003112793,-88.5690002441406,NA,US,US-IL,Mansfield,04IS
04KY,Natchez Trace Farm Airport,37.1351013183594,-85.7893981933594,NA,US,US-KY,Hiseville,04KY
04LL,Brunner Airport,42.136100769043,-88.28759765625,NA,US,US-IL,West Dundee,04LL
04ME,Beech Hill Airport,44.6666984558105,-69.8938980102539,NA,US,US-ME,Mercer,04ME
04MI,Rapids Airway Airport,42.5345001220703,-84.628303527832,NA,US,US-MI,Eaton Rapids,04MI
04MN,Helblad Airport,47.9858016967773,-94.686897277832,NA,US,US-MN,Kelliher,04MN
04MO,Airpark Private Airport,39.3012008666992,-91.4514999389649,NA,US,US-MO,Vandalia,04MO
04MS,Nick's Flying Service Inc Airport,32.9396018982,-90.8373031616,NA,US,US-MS,Rolling Fork,04MS
04MT,Pluhar Airport,47.1374977778,-106.488095,NA,US,US-MT,Cohagen,04MT
04NE,Mc Connell Field Airport,41.1599998474,-101.299003601,NA,US,US-NE,Sarben,04NE
04NJ,Emmanuel Airport,39.5968017578,-75.2334976196,NA,US,US-NJ,Elmer,04NJ
04NV,Kingston Ranch Airport,35.7555007935,-115.665000916,NA,US,US-NV,Sandy Valley,04NV
04NY,Klaverack Airport,42.262298584,-73.6961975098,NA,US,US-NY,Hudson,04NY
04OH,Bossow Airport,41.2476997375,-81.1007003784,NA,US,US-OH,Garrettsville,04OH
04OR,Collins Landing Strip,44.7499008179,-120.200996399,NA,US,US-OR,Mitchell,04OR
04TN,Hensley Airpark,36.1833000183,-82.6789016724,NA,US,US-TN,Chuckey,04TN
04TX,Pocock Airport,31.7322006226,-97.3688964844,NA,US,US-TX,China Spring,04TX
04UT,Navajo Mountain Airport,37.0083007812,-110.794998169,NA,US,US-UT,Navajo Mountain Trdng Post,04UT
04V,Saguache Municipal Airport,38.0990833,-106.1743889,NA,US,US-CO,Saguache,04V
04VG,Manquin Flight Park Ultralightport,37.7144012451,-77.2117996216,NA,US,US-VA,Manquin,04VG
04VT,Lightning Bolt Field Airport,44.4011001587,-72.2636032104,NA,US,US-VT,Cabot,04VT
04W,Field of Dreams Airport,46.0228004456,-92.895401001,NA,US,US-MN,Hinckley,04W
04WA,Ox Meadows Airport,47.5817985535,-117.43699646,NA,US,US-WA,Spokane,04WA
04WI,Dutch Gap Airstrip,42.523399353,-88.0167007446,NA,US,US-WI,Bristol,04WI
04WN,Stillwater Creek Airport,46.963889,-119.641667,NA,US,US-WA,Royal City,04WN
05AK,Wasilla Creek Airpark,61.66830063,-149.1880035,NA,US,US-AK,Palmer,05AK
05AR,Ozark Skies Airpark,36.000633,-93.57025,NA,US,US-AR,Kingston,05AR
05CL,Pope Valley Airport,38.6106987,-122.39099884,NA,US,US-CA,Pope Valley,05CL
05CO,Rancho De Aereo Airport,40.2149839,-104.9844228,NA,US,US-CO,Mead,05CO
05FA,Melanie's Airport,30.9188995361328,-86.2182998657227,NA,US,US-FL,Florala,05FA
05FL,Charlton Strip,26.523099899292,-81.4083023071289,NA,US,US-FL,La Belle,05FL
05GA,Raju Airport,32.0713996887207,-84.7144012451172,NA,US,US-GA,Richland,05GA
05IA,Spotts Field,43.1375007629395,-93.0682983398438,NA,US,US-IA,Nora Springs,05IA
05ID,Running Creek Ranch Airport,45.9141006469727,-114.835998535156,NA,US,US-ID,Grangeville,05ID
05II,Reichhart Airport,41.0287017822266,-84.997200012207,NA,US,US-IN,New Haven,05II
05IL,Classic Landings Airport,41.1567001342773,-88.0167007446289,NA,US,US-IL,Bonfield,05IL
05IN,Cooper Airport,39.6419982910156,-86.5042037963867,NA,US,US-IN,Belleville,05IN
05IS,Hardy Airport,39.7258987426758,-89.2639999389649,NA,US,US-IL,Mount Auburn,05IS
05KS,Darbro Field,37.2662010192871,-95.9591979980469,NA,US,US-KS,Elk City,05KS
05KY,Cartersville Airport,37.53689957,-84.40720367,NA,US,US-KY,Berea,05KY
05LA,Greg's Flying Service Airport,32.2653007507324,-91.6977996826172,NA,US,US-LA,Baskin,05LA
05LS,Grass Roots Airport,31.2521991729736,-92.4757995605469,NA,US,US-LA,Alexandria,05LS
05MD,Breezecroft Airport,39.2500991821289,-76.2052001953125,NA,US,US-MD,Chestertown,05MD
05ME,Drisko Airport,44.6570014953613,-67.559196472168,NA,US,US-ME,Jonesboro,05ME
05NE,Mc Kay Airport,41.7221984863,-98.3089981079,NA,US,US-NE,Spalding,05NE
05OI,Dorlon Airpark,41.2883987426758,-81.9626007080078,NA,US,US-OH,Columbia Station,05OI
05OK,Hawk Haven Airport,35.853401184082,-97.567497253418,NA,US,US-OK,Crescent,05OK
05OR,Peacock Ranch Airport,45.4415016174316,-117.350997924805,NA,US,US-OR,Enterprise,05OR
05PS,Mills Brothers Airport,40.1427993774414,-77.8619003295898,NA,US,US-PA,Burnt Cabins,05PS
05S,Vernonia Airfield,45.8515014648438,-123.241996765137,NA,US,US-OR,Vernonia,05S
05TA,Brandes Air Field,29.8090991973877,-96.2650985717773,NA,US,US-TX,Sealy,05TA
05TE,Hilde-Griff Field,30.7220993041992,-97.7913970947266,NA,US,US-TX,Georgetown,05TE
05TS,Dew Drop Airport,33.1292991638184,-97.3585968017578,NA,US,US-TX,Justin,05TS
05TX,Circle 'A' Ranch Airport,32.1291999816895,-97.4041976928711,NA,US,US-TX,Blum,05TX
05UT,Oljato Airport,37.0332984924316,-110.317001342773,NA,US,US-UT,Oljato,05UT
05V,Blanca Airport,37.4110984802246,-105.552001953125,NA,US,US-CO,Blanca,05V
05VA,Providence Airport,37.2242012023926,-78.4186019897461,NA,US,US-VA,Farmville,05VA
05WI,Ames Private Airport,42.6511001586914,-88.7459030151367,NA,US,US-WI,Darien,05WI
05WN,Flat Creek Field,48.702222,-118.0475,NA,US,US-WA,Kettle Falls,05WN
05XS,Johnson Memorial Airport,33.0792999267578,-91.5431976318359,NA,US,US-AR,Wilmot,05XS
05Y,Henning Municipal Airport,46.3037986755371,-95.4394989013672,NA,US,US-MN,Henning,05Y
06AK,June Lake Airpark,61.627619,-149.575331,NA,US,US-AK,Wasilla,06AK
06AR,Bondair Airport,35.5444984436035,-92.1848983764648,NA,US,US-AR,Higden,06AR
06CO,Jecan Airport,37.3875007629395,-103.69100189209,NA,US,US-CO,Branson,06CO
06FA,William P Gwinn Airport,26.9083995819092,-80.3289031982422,NA,US,US-FL,Jupiter,06FA
06FD,Grass Roots Airpark,28.6417007446289,-81.8850021362305,NA,US,US-FL,Mascotte,06FD
06IA,Rich Field,41.8414001464844,-91.8342971801758,NA,US,US-IA,Walford,06IA
06ID,Larkin Airport,43.4626998901367,-116.359001159668,NA,US,US-ID,Kuna,06ID
06IL,Humm Airport,41.5994987487793,-88.8699035644531,NA,US,US-IL,Earlville,06IL
06IN,Ellis Fly-In Airport,39.2827987670898,-87.303596496582,NA,US,US-IN,Blackhawk,06IN
06IS,Sinele Strip,40.5463981628418,-91.274299621582,NA,US,US-IL,Nauvoo,06IS
06MN,Pike Field Airport,47.6519012451,-92.4167022705,NA,US,US-MN,Virginia,06MN
06MO,Noahs Ark Airport,39.230598449707,-94.8043975830078,NA,US,US-MO,Waldron,06MO
06MT,Torgerson Airport,48.5583000183105,-112.109001159668,NA,US,US-MT,Ethridge,06MT
06N,Randall Airport,41.431999206543,-74.3916015625,NA,US,US-NY,Middletown,06N
06NC,Tailwinds Airport,34.8274993896484,-78.9302978515625,NA,US,US-NC,St. Pauls,06NC
06ND,Fitterer's Strip,46.7489013671875,-101.668998718262,NA,US,US-ND,Glen Ullin,06ND
06NH,Cole Farm Airport,42.9283981323242,-70.9730987548828,NA,US,US-NH,Kensington,06NH
06NY,Murphy Field,42.8428001403809,-76.4452972412109,NA,US,US-NY,Auburn,06NY
06OH,Hal Joy Airfield,41.5097999572754,-80.5912017822266,NA,US,US-OH,Williamsfield,06OH
06OI,Green Acres Airport,39.7347984313965,-84.3822021484375,NA,US,US-OH,New Lebanon,06OI
06OR,Hayden Mountain Airport,45.4650993347168,-123.080001831055,NA,US,US-OR,Forest Grove,06OR
06PA,Freefall Oz Airport,42.0083999633789,-78.2581024169922,NA,US,US-PA,Ceres,06PA
06R,Grawunder Field,29.9419002532959,-96.2461013793945,NA,US,US-TX,Bellville,06R
06SN,Beyer Farm Airport,37.5839004516602,-97.2530975341797,NA,US,US-KS,Derby,06SN
06TA,Glaser Field,30.9085006713867,-97.1168975830078,NA,US,US-TX,Buckholts,06TA
06TE,Ainsworth Airport,30.3127002716064,-95.0269012451172,NA,US,US-TX,Cleveland,06TE
06TN,Hunter STOLport,35.6972999572754,-86.956901550293,NA,US,US-TN,Columbia,06TN
06TS,Roscoe Mc Connico Airport,32.1207008361816,-96.1791000366211,NA,US,US-TX,Kerens,06TS
06TX,Diamond N Ranch Airport,30.0576000213623,-95.8128967285156,NA,US,US-TX,Hockley,06TX
06VA,Mount Horeb Field,38.2490005493164,-78.8553009033203,NA,US,US-VA,Grottoes,06VA
06WI,Young Private Airport,45.6627006530762,-92.4502029418945,NA,US,US-WI,Frederic,06WI
06WN,Western Airpark,46.9249992370605,-122.553001403809,NA,US,US-WA,Yelm,06WN
06XS,Campbell Field,33.3246994018555,-97.0441970825195,NA,US,US-TX,Aubrey,06XS
06Y,Herman Municipal Airport,45.8300018310547,-96.1605987548828,NA,US,US-MN,Herman,06Y
07AR,Morrilton Airport,35.1944999694824,-92.8002014160156,NA,US,US-AR,Morrilton,07AR
07B,Blue Hill Airport,44.4480018615723,-68.5697021484375,NA,US,US-ME,Blue Hill,07B
07CL,Richvale Airport,39.4976997375488,-121.771003723145,NA,US,US-CA,Richvale,07CL
07CO,Comanche Creek Airport,39.2635993957519,-104.427001953125,NA,US,US-CO,Kiowa,07CO
07D,Tackaberry Airport,43.0644989013672,-82.7238006591797,NA,US,US-MI,Avoca,07D
07FA,Ocean Reef Club Airport,25.3253993988037,-80.2748031616211,NA,US,US-FL,Key Largo,07FA
07FD,Flying G Ranch STOLport,30.4179992675781,-83.2837982177734,NA,US,US-FL,Lee,07FD
07GA,Alcovy Airport,33.6749992370605,-83.7630996704102,NA,US,US-GA,Covington,07GA
07ID,Interstate Airport,42.2781982421875,-113.305000305176,NA,US,US-ID,Malta,07ID
07IN,Gray Airport,39.5736999511719,-85.9139022827148,NA,US,US-IN,Boggstown,07IN
07K,Central City Municipal - Larry Reineke Field,41.1125984192,-98.0516967773,NA,US,US-NE,Central City,07K
07KS,Heape Field,37.7341995239258,-96.9366989135742,NA,US,US-KS,Augusta,07KS
07KY,Blue Lick Airport,38.0806007385254,-85.6932983398437,NA,US,US-KY,Louisville,07KY
07MD,Baugher's Orchard Airport,39.6082992553711,-77.0519027709961,NA,US,US-MD,Westminster,07MD
07MI,Scott Airstrip,43.864200592041,-85.0239028930664,NA,US,US-MI,Lake,07MI
07MN,Dairyview Airport,44.0550003051758,-95.9095001220703,NA,US,US-MN,Hadley,07MN
07MO,Lake Sexton Airport,38.6500015258789,-93.6168975830078,NA,US,US-MO,Warrensburg,07MO
07MT,Glasgow Industrial Airport,48.4211006164551,-106.52799987793,NA,US,US-MT,Glasgow,07MT
07N,Bermudian Valley Airpark,40.0167999267578,-77.0038986206055,NA,US,US-PA,Kralltown,07N
07NC,Hawks Meadow Airport,34.8331985473633,-80.7511978149414,NA,US,US-NC,Waxhaw,07NC
07OK,Pleasant Valley Airport,34.6333999633789,-99.0336990356445,NA,US,US-OK,Snyder,07OK
07OR,Bruce's Airport,45.4217987060547,-122.620002746582,NA,US,US-OR,Milwaukie,07OR
07PN,Folmar Airport,40.998889,-78.125278,NA,US,US-PA,Grassflat,07PN
07SN,Churchill Airport,39.7728004455566,-99.3600997924805,NA,US,US-KS,Phillipsburg,07SN
07TA,Salaika Aviation Airport,29.24049949646,-95.3447036743164,NA,US,US-TX,Danbury,07TA
07TE,Cuddihy Field,27.7210998535156,-97.5128021240234,NA,US,US-TX,Corpus Christi,07TE
07TN,Corntassel Airport,35.5685997009277,-84.241096496582,NA,US,US-TN,Vonore,07TN
